Source,Target,Weight
0,1,0.2673680690752571
0,3,0.2651317768498667
0,4,0.2559503545376269
0,10,0.2901536745438647
0,11,0.2712903254410071
0,12,0.3174839228888548
0,13,0.25963148518171386
0,15,0.28092013454701564
0,51,0.25774582246391964
1,2,0.2980008036230083
1,3,0.29551705162961545
1,4,0.2591463336407177
1,5,0.30546902502692724
1,7,0.25060101281665514
1,10,0.3422803814132111
1,11,0.29056469723256473
1,12,0.35218119535459713
1,13,0.27651532267629325
1,14,0.28672568240349944
1,15,0.27980260809670526
1,49,0.2638337754526823
1,51,0.3073520884704873
1,52,0.2554871493121613
1,53,0.33707761182617274
2,3,0.2717095677840155
2,5,0.2884121217902054
2,10,0.2822559471052359
2,11,0.2818057013969089
2,12,0.27983998883079797
2,13,0.2667978219979128
2,15,0.25531338144428667
2,51,0.2709576913520521
3,4,0.3548965221974197
3,5,0.28562964286412706
3,9,0.2725613735691651
3,10,0.28492794691932144
3,11,0.286739275202432
3,12,0.2659776550949893
3,13,0.3089915900073471
3,15,0.2895380704067532
3,32,0.25186494298901313
3,41,0.2603429980393092
3,43,0.25565549983272906
3,48,0.273873407873771
3,49,0.29067237993300393
3,50,0.29350714489341817
3,51,0.25883108584621023
3,53,0.2554519939093989
4,7,0.29134437194617807
4,9,0.3144551958271242
4,10,0.3118867882699372
4,11,0.261488412181006
4,12,0.25239852806669516
4,13,0.3080668718573457
4,15,0.27718458456489525
4,49,0.295801592247487
4,50,0.3190570987780144
5,7,0.2544065233306538
5,10,0.3168329337614457
5,11,0.29474180716708004
5,12,0.36788720766468996
5,13,0.3268123969667386
5,14,0.3313820485601163
5,15,0.4081945350829255
5,49,0.2595370585271204
5,51,0.3793703140191384
5,52,0.2986854816735465
5,53,0.35099390027982846
7,9,0.3191092405327405
7,10,0.283247219315393
7,11,0.2524511022826522
7,12,0.29657564298393235
7,29,0.2629595144194245
7,30,0.2542726213671485
7,39,0.25214088184513866
7,47,0.25774622636901445
7,49,0.2817646879101977
7,50,0.27267223421859155
7,53,0.26149469221155236
8,43,0.2817760173855471
8,49,0.2610133561259706
8,50,0.2593446072763558
9,10,0.2752768779887054
9,11,0.2676134183449281
9,13,0.26473182002056483
9,18,0.27892052601999817
9,23,0.2651050928856944
9,24,0.25626719058123937
